src_ip,packet_count_5s_max,packet_count_5s_mean,packet_count_5s_std,unique_dst_ip_count,log_src_ip_avg_freq
13.35.166.35,12,5.478260869565218,3.0484431552970617,1,0.2947451262489898
151.101.110.167,45,20.529411764705884,13.95560600152016,1,0.8935031979341685
151.101.110.214,102,33.87937743190661,26.09241736540303,1,1.1939631277425737
192.168.167.253,276,133.6803105151729,82.79393513777873,28,2.5666292812540514
192.168.167.35,5,1.9230769230769231,1.2686478848054341,2,0.1470165524805718
192.168.167.79,7,3.888888888888889,1.7916128329552332,2,0.9163794328524375
23.160.0.0,14,4.542857142857143,3.774673928342172,1,0.29146552044038465
3.169.121.79,16,8.5,4.6097722286464435,1,4.058004940096891
3.169.137.16,10,4.041666666666667,2.6611270586392943,1,0.35095867620039395
3.169.137.37,9,4.684210526315789,2.3407743113617987,1,0.2427168496580942
3.169.137.63,16,7.473684210526316,4.859807458311075,1,1.1237511378678384
3.169.137.64,20,8.703703703703704,5.874078744568691,1,0.32913681897682656
3.169.137.94,12,5.769230769230769,3.422860840197998,1,0.2170346870898504
3.169.55.102,45,19.506172839506174,13.445935139386759,1,0.7524531705501024
3.169.55.3,12,4.409090909090909,3.4988191632592396,1,0.28714791354809843
3.169.55.41,40,17.397727272727273,11.217417233042786,1,0.8405183899360207
3.169.55.47,14,6.21875,3.8869523328052273,1,0.2795535444729042
3.169.55.89,12,6.04,3.2800000000000002,1,0.3188816697078225
34.120.208.123,27,14.0,7.788880963698615,1,3.507403534256671
34.36.137.203,2,1.3333333333333333,0.4714045207910317,1,0.0502432034021037
35.73.98.40,27,10.703125,6.554291741628153,1,0.4724506401367499
35.80.132.48,247,123.73741007194245,75.85502622347589,1,2.6141070911202364
44.238.34.167,5,3.0,1.4142135623730951,1,3.0908597256352293
52.36.10.251,23,9.228571428571428,6.68937628647401,1,0.40399495966270843
52.39.253.100,20,7.795918367346939,4.823325941318216,1,0.4503008059209076
54.149.35.144,7,4.0,2.0,1,1.3048726605054424
54.199.240.179,28,12.849315068493151,5.597629715779566,1,1.3208054068599937
54.213.56.191,13,6.421052631578948,3.3295454008283603,1,0.9959875165373251
54.214.186.13,52,21.683673469387756,15.958873763889013,1,0.7297395075371806
95.216.195.133,5,3.0,1.4142135623730951,1,2.239827696999403
98.82.156.207,9,3.8125,2.4550649176752946,1,0.5424303503972274
