src_ip,packet_count_2s_max,packet_count_2s_mean,packet_count_2s_std,unique_dst_ip_count,packet_count_total,log_src_ip_avg_freq
103.132.192.30,21,9.25,6.139014578904337,1,28,0.6023146814968077
104.115.230.212,9,4.230769230769231,2.516219574430173,1,13,0.499174636294921
104.26.1.74,40,19.051948051948052,10.589011829711444,1,77,1.1284523182918706
116.213.23.147,16,5.970588235294118,4.2321270838644764,1,34,0.699299683153737
116.213.23.186,17,6.472222222222222,4.555132094139722,1,36,0.7281382527240435
116.50.36.71,15,7.758620689655173,4.190754786874302,1,29,0.5881804257333375
13.113.58.217,14,6.315789473684211,4.05297332803757,1,19,0.43418939166679665
130.211.28.216,77,34.10769230769231,20.561444933454442,1,130,1.5796326937099794
137.184.249.78,42,15.066666666666666,12.069060536024427,1,75,0.9482605405715833
142.250.204.34,33,14.28,9.075329195131161,1,50,0.866712175416742
172.105.235.90,40,12.788732394366198,12.360677647859875,1,71,0.7448885262978002
182.161.73.136,26,12.310344827586206,7.922484146623945,1,29,0.8097690404092245
184.50.179.49,19,5.833333333333333,4.9749371855331,1,72,0.4936767861674617
192.124.249.41,2,1.2,0.4,1,10,0.1425512208049564
192.168.167.253,858,241.8906205724001,224.35357585521078,40,3529,3.4576127224898006
192.168.167.34,2,1.4375,0.49607837082461076,1,32,0.24584891338679588
192.168.167.35,75,29.59313725490196,21.560702086698317,2,408,1.5395956143479164
192.99.5.186,350,88.23783488244942,73.52084889628867,1,1829,3.253183501708367
203.75.214.136,63,23.844961240310077,19.577098474708148,1,129,1.007707572554027
207.211.208.136,19,7.340909090909091,4.999741728866793,1,44,0.6604628050588643
210.59.219.34,16,5.125,4.728570079844435,1,32,0.402386505030143
210.71.154.56,2,1.4,0.4898979485566356,1,5,0.2228596147163945
211.77.97.146,23,8.357142857142858,6.520376225529397,1,42,0.5777273240084401
23.36.113.61,10,4.642857142857143,2.8437184624849117,1,14,0.52905781663891
3.169.55.82,9,4.363636363636363,2.705977466570403,1,11,0.17304884184768304
34.107.221.82,2,1.0769230769230769,0.26646935501059654,1,13,0.11060816265480236
34.107.243.93,14,6.75,4.264680527307995,1,16,0.24082878870301067
34.120.208.123,70,33.005025125628144,20.407776990225706,1,199,1.42081326171802
34.36.137.203,39,18.372093023255815,11.867530955008748,1,43,0.5443537409063037
35.186.215.140,18,7.233333333333333,5.077291491424231,1,30,0.6143026431035318
35.190.36.98,56,23.96511627906977,15.317908408452343,1,86,1.257391251303345
35.201.76.198,85,35.78448275862069,24.60193643713029,1,116,1.4559920712328798
35.201.76.93,28,12.18918918918919,8.222703697649733,1,37,0.715231636994259
35.227.249.156,21,9.333333333333334,6.2360956446232345,1,27,0.5821694986273164
35.85.182.9,8,4.5,2.29128784747792,1,8,2.6116730597853977
43.249.38.89,57,23.49473684210526,17.099014243184975,1,95,1.1846502587707048
57.182.202.95,55,19.928,15.315443708884182,1,125,1.3154546601684447
60.199.208.39,18,7.0,4.743416490252569,1,36,0.44307601780276656
60.199.208.47,110,46.7112676056338,32.646113800581226,1,142,1.614611858962692
69.173.158.64,11,3.4615384615384617,3.0284645669276196,1,26,0.33936902894300747
